id,Year,Month,Day,Hour,Minute,Tsunami,Country,LocationName,Latitude,Longitude,FocalDepth,Magnitude,Deaths,Missing,Injuries,Damage,HousesDestroyed,HousesDamaged
77.0,2002.0,4.0,1.0,19.0,59.0,0.0,CHILE,CHILE:  CENTRAL:  COQUIMBO. LA SERENA. OVALLE,-29.67,-71.384,71.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0
78.0,2002.0,4.0,18.0,16.0,8.0,0.0,CHILE,CHILE:  COPIAPO. TALTAL,-27.535,-70.586,62.0,6.6,0.0,0.0,19.0,0.0,34.0,575.0
79.0,2003.0,6.0,20.0,13.0,30.0,0.0,CHILE,CHILE:  OVALLE. COQUIMBO; ARGENTINA:  SAN JUAN,-30.608,-71.637,33.0,6.8,0.0,0.0,1.0,0.0,0.0,0.0
80.0,2004.0,5.0,3.0,4.0,36.0,0.0,CHILE,CHILE: CANETE,-37.695,-73.406,21.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0
81.0,2004.0,6.0,15.0,11.0,16.0,0.0,CHILE,CHILE: CARAHUE. IMPERIAL. TEMUCO,-38.854,-73.155,38.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0
82.0,2005.0,6.0,13.0,22.0,44.0,0.0,CHILE,CHILE:  TARAPACA,-19.987,-69.197,116.0,7.7,11.0,0.0,200.0,0.0,544.0,0.0
83.0,2005.0,8.0,14.0,2.0,39.0,0.0,CHILE,CHILE:  TARAPACA,-19.78,-68.98,11.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0
84.0,2007.0,4.0,21.0,17.0,53.0,3044.0,CHILE,CHILE:  SOUTHERN,-45.243,-72.648,37.0,6.2,2.0,0.0,0.0,0.0,0.0,2.0
85.0,2007.0,11.0,14.0,15.0,40.0,3293.0,CHILE,CHILE:  TOCOPILLA. MARIA ELENA,-22.247,-69.89,40.0,7.7,2.0,0.0,65.0,0.0,0.0,0.0
86.0,2007.0,12.0,15.0,18.0,22.0,0.0,CHILE,CHILE:  OFF CENTRAL COAST. VINA DEL MAR. VALPARAISO,-32.689,-71.695,25.0,5.9,0.0,0.0,4.0,0.0,0.0,0.0
87.0,2010.0,2.0,27.0,6.0,34.0,4682.0,CHILE,CHILE:  MAULE. CONCEPCION. TALCAHUANO,-36.122,-72.898,22.0,8.8,402.0,0.0,12000.0,30000.0,0.0,500000.0
88.0,2010.0,3.0,11.0,14.0,39.0,4722.0,CHILE,CHILE:  RANCAGUA,-34.29,-71.891,11.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0
89.0,2011.0,2.0,11.0,20.0,5.0,5406.0,CHILE,CHILE:  OFF COAST CENTRAL,-36.474,-73.125,28.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0
90.0,2012.0,3.0,25.0,22.0,37.0,0.0,CHILE,CHILE:  PARRAL. SANTIAGO,-35.2,-72.217,41.0,7.2,1.0,0.0,14.0,0.0,0.0,0.0
91.0,2012.0,4.0,17.0,3.0,50.0,0.0,CHILE,CHILE:  VALPARAISO,-32.625,-71.365,29.0,6.7,2.0,0.0,0.0,0.0,0.0,0.0
92.0,2012.0,5.0,14.0,10.0,0.0,0.0,CHILE,CHILE:  ARICA; PERU:  TACNA,-17.678,-69.591,10.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0
93.0,2014.0,3.0,16.0,21.0,16.0,5555.0,CHILE,CHILE:  IQUIQUE,-19.981,-70.702,20.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0
94.0,2014.0,4.0,1.0,23.0,46.0,5557.0,CHILE,CHILE:  NORTHERN:  IQUIQUE. ALTO HOSPICIO,-19.61,-70.769,25.0,8.2,7.0,0.0,0.0,100.0,0.0,2600.0
